alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,0.01,0.0001,1.0,0.01,0.3,998.0,0.7309888788698528
100.0,100.0,100.0,10.0,10.0,0.3,998.0,0.7027351968740607
100.0,100.0,100.0,10.0,1.0,0.3,998.0,0.7285843101893598
100.0,100.0,100.0,1.0,1.0,0.3,998.0,0.7096483318304779
100.0,100.0,100.0,1.0,0.1,0.3,998.0,0.7219717463180042
100.0,100.0,100.0,1.0,0.01,0.3,998.0,0.715058611361587
100.0,100.0,100.0,1.0,0.001,0.3,998.0,0.7138563270213405
100.0,100.0,100.0,1.0,0.0001,0.3,998.0,0.7237751728283739
100.0,100.0,100.0,1.0,1e-05,0.3,998.0,0.7144574691914638
100.0,100.0,100.0,1.0,1e-06,0.3,998.0,0.7147580402765255
100.0,100.0,100.0,0.1,1.0,0.3,998.0,0.7234746017433122
100.0,100.0,100.0,0.1,0.01,0.3,998.0,0.7306883077847911
100.0,100.0,100.0,0.1,0.001,0.3,998.0,0.7156597535317103
100.0,100.0,100.0,0.1,0.0001,0.3,998.0,0.7201683198076345
100.0,100.0,100.0,0.1,1e-05,0.3,998.0,0.7285843101893598
100.0,100.0,100.0,0.1,1e-06,0.3,998.0,0.7054403366396153
100.0,100.0,100.0,0.01,0.1,0.3,998.0,0.7063420498948001
100.0,100.0,100.0,0.01,0.01,0.3,998.0,0.7036369101292456
100.0,100.0,100.0,0.01,0.001,0.3,998.0,0.7270814547640517
100.0,100.0,100.0,0.01,0.0001,0.3,998.0,0.718966035467388
100.0,100.0,100.0,0.01,1e-05,0.3,998.0,0.7183648932972648
100.0,100.0,100.0,0.01,1e-06,0.3,998.0,0.7000300571085062
100.0,100.0,100.0,0.001,1.0,0.3,998.0,0.7255785993387436
100.0,100.0,100.0,0.001,0.1,0.3,998.0,0.7225728884881274
100.0,100.0,100.0,0.001,0.01,0.3,998.0,0.7093477607454163
100.0,100.0,100.0,0.001,0.001,0.3,998.0,0.7123534715960325
100.0,100.0,100.0,0.001,1e-05,0.3,998.0,0.7141568981064021
100.0,100.0,100.0,0.001,1e-06,0.3,998.0,0.7162608957018335
100.0,100.0,100.0,0.0001,1.0,0.3,998.0,0.7042380522993688
100.0,100.0,100.0,0.0001,0.1,0.3,998.0,0.7024346257889991
100.0,100.0,100.0,0.0001,0.01,0.3,998.0,0.7114517583408476
100.0,100.0,100.0,0.0001,0.001,0.3,998.0,0.7255785993387436
100.0,100.0,100.0,0.0001,0.0001,0.3,998.0,0.7027351968740607
100.0,100.0,100.0,0.0001,1e-05,0.3,998.0,0.7120529005109708
100.0,100.0,100.0,0.0001,1e-06,0.3,998.0,0.7165614667868951
100.0,100.0,100.0,1e-05,1.0,0.3,998.0,0.721370604147881
100.0,100.0,100.0,1e-05,0.1,0.3,998.0,0.711151187255786
100.0,100.0,100.0,1e-05,0.01,0.3,998.0,0.7108506161707244
100.0,100.0,100.0,1e-05,0.001,0.3,998.0,0.7132551848512173
100.0,100.0,100.0,1e-05,0.0001,0.3,998.0,0.7285843101893598
100.0,100.0,100.0,1e-05,1e-05,0.3,998.0,0.7084460474902314
100.0,100.0,100.0,1e-05,1e-06,0.3,998.0,0.7048391944694921
100.0,100.0,100.0,1e-06,1.0,0.3,998.0,0.7129546137661557
100.0,100.0,100.0,1e-06,0.1,0.3,998.0,0.7132551848512173
100.0,100.0,100.0,1e-06,0.01,0.3,998.0,0.7120529005109708
100.0,100.0,100.0,1e-06,0.001,0.3,998.0,0.7138563270213405
100.0,100.0,100.0,1e-06,0.0001,0.3,998.0,0.7093477607454163
100.0,100.0,100.0,1e-06,1e-05,0.3,998.0,0.7225728884881274
100.0,100.0,100.0,1e-06,1e-06,0.3,998.0,0.7171626089570183
100.0,100.0,10.0,0.1,1e-05,0.3,998.0,0.7060414788097386
100.0,100.0,10.0,0.001,0.01,0.3,998.0,0.7045386233844304
100.0,100.0,10.0,0.0001,0.01,0.3,998.0,0.7096483318304779
100.0,100.0,10.0,0.0001,0.001,0.3,998.0,0.7018334836188759
100.0,100.0,10.0,1e-06,1e-05,0.3,998.0,0.7024346257889991
100.0,10.0,100.0,10.0,10.0,0.3,998.0,0.7192666065524497
100.0,10.0,100.0,10.0,1.0,0.3,998.0,0.7484220018034266
100.0,10.0,100.0,1.0,1.0,0.3,998.0,0.711151187255786
100.0,10.0,100.0,1.0,0.1,0.3,998.0,0.7264803125939284
100.0,10.0,100.0,1.0,0.01,0.3,998.0,0.7210700330628194
100.0,10.0,100.0,1.0,0.001,0.3,998.0,0.7207694619777577
100.0,10.0,100.0,1.0,1e-06,0.3,998.0,0.7219717463180042
100.0,10.0,100.0,0.1,0.1,0.3,998.0,0.7180643222122032
