alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,0.1,1.0,0.1,0.001,0.05,985.0,0.7936298625551554
100.0,0.1,1.0,0.1,0.0001,0.05,985.0,0.8045341583405183
100.0,0.1,1.0,0.1,1e-05,0.05,985.0,0.7921590505655018
100.0,0.1,1.0,0.01,0.01,0.05,985.0,0.7895724501699042
100.0,0.1,1.0,0.01,0.001,0.05,985.0,0.7589897043160724
100.0,0.1,1.0,0.01,0.0001,0.05,985.0,0.7664959172287873
100.0,0.1,1.0,0.01,1e-05,0.05,985.0,0.7752700715118933
100.0,0.1,1.0,0.001,0.01,0.05,985.0,0.7767408835015469
100.0,0.1,1.0,0.001,0.001,0.05,985.0,0.7772987777045189
100.0,0.1,1.0,0.001,0.0001,0.05,985.0,0.781812648983111
100.0,0.1,1.0,0.001,1e-05,0.05,985.0,0.763706446213927
100.0,0.1,1.0,0.0001,0.01,0.05,985.0,0.7692853882436476
100.0,0.1,1.0,0.0001,0.001,0.05,985.0,0.7906375209210326
100.0,0.1,1.0,0.0001,0.0001,0.05,985.0,0.7704518943044074
100.0,0.1,1.0,0.0001,1e-05,0.05,985.0,0.7801389663741949
100.0,0.1,1.0,1e-05,0.01,0.05,985.0,0.7905360856114013
100.0,0.1,1.0,1e-05,0.001,0.05,985.0,0.777856671907491
100.0,0.1,1.0,1e-05,0.0001,0.05,985.0,0.7802404016838261
100.0,0.1,1.0,1e-05,1e-05,0.05,985.0,0.7717705533296141
100.0,0.1,0.1,0.01,0.01,0.05,985.0,0.7870365674291221
100.0,0.1,0.1,0.01,0.001,0.05,985.0,0.8073743470101943
100.0,0.1,0.1,0.01,0.0001,0.05,985.0,0.8046863113049653
100.0,0.1,0.1,0.01,1e-05,0.05,985.0,0.8132575949688087
100.0,0.1,0.1,0.001,0.01,0.05,985.0,0.7797839427904854
100.0,0.1,0.1,0.001,0.001,0.05,985.0,0.8148805599229092
100.0,0.1,0.1,0.001,0.0001,0.05,985.0,0.7876958969417254
100.0,0.1,0.1,0.001,1e-05,0.05,985.0,0.8105695592635797
100.0,0.1,0.1,0.0001,0.001,0.05,985.0,0.8106709945732109
100.0,0.1,0.1,0.0001,0.0001,0.05,985.0,0.812648983111021
100.0,0.1,0.1,1e-05,0.001,0.05,985.0,0.799766698787848
100.0,0.1,0.1,1e-05,0.0001,0.05,985.0,0.7982958867981944
100.0,0.1,0.1,1e-05,1e-05,0.05,985.0,0.801338946087133
100.0,0.1,0.01,0.1,0.001,0.05,985.0,0.7716691180199827
100.0,0.1,0.01,0.01,0.01,0.05,985.0,0.7876958969417254
100.0,0.1,0.01,0.01,0.001,0.05,985.0,0.802454734493077
100.0,0.1,0.01,0.01,0.0001,0.05,985.0,0.7919561799462392
100.0,0.1,0.01,0.01,1e-05,0.05,985.0,0.81929299589187
100.0,0.1,0.01,0.001,0.01,0.05,985.0,0.7992595222396917
100.0,0.1,0.01,0.001,0.001,0.05,985.0,0.804584875995334
100.0,0.1,0.01,0.001,0.0001,0.05,985.0,0.7951513921996247
100.0,0.1,0.01,0.001,1e-05,0.05,985.0,0.7967743571537252
100.0,0.1,0.01,0.0001,0.01,0.05,985.0,0.8052442055079373
100.0,0.1,0.01,0.0001,0.001,0.05,985.0,0.8248719379215905
100.0,0.1,0.01,0.0001,0.0001,0.05,985.0,0.8076786529390881
100.0,0.1,0.01,0.0001,1e-05,0.05,985.0,0.812648983111021
100.0,0.1,0.01,1e-05,0.01,0.05,985.0,0.7838920728305523
100.0,0.1,0.01,1e-05,0.0001,0.05,985.0,0.786630826190597
100.0,0.1,0.01,1e-05,1e-05,0.05,985.0,0.807120758736116
100.0,0.1,0.001,0.01,0.001,0.05,985.0,0.7888116853476695
100.0,0.1,0.001,0.01,0.0001,0.05,985.0,0.8160977836384845
100.0,0.1,0.001,0.01,1e-05,0.05,985.0,0.8102652533346858
100.0,0.1,0.001,0.001,0.01,0.05,985.0,0.7956078510929655
100.0,0.1,0.001,0.001,0.001,0.05,985.0,0.7918040269817923
100.0,0.1,0.001,0.001,0.0001,0.05,985.0,0.8043820053760714
100.0,0.1,0.001,0.001,1e-05,0.05,985.0,0.8023532991834458
100.0,0.1,0.001,0.0001,0.01,0.05,985.0,0.8108231475376578
100.0,0.1,0.001,0.0001,0.001,0.05,985.0,0.8114317593954455
100.0,0.1,0.001,0.0001,0.0001,0.05,985.0,0.8088451589998479
100.0,0.1,0.001,0.0001,1e-05,0.05,985.0,0.8086422883805853
100.0,0.1,0.001,1e-05,0.01,0.05,985.0,0.805294923162753
100.0,0.1,0.001,1e-05,0.001,0.05,985.0,0.7973322513566973
100.0,0.1,0.001,1e-05,0.0001,0.05,985.0,0.8128518537302835
100.0,0.1,0.001,1e-05,1e-05,0.05,985.0,0.8129532890399148
100.0,0.1,0.0001,0.1,1e-05,0.05,985.0,0.7384490541157377
100.0,0.1,0.0001,0.01,0.01,0.05,985.0,0.7934777095907085
100.0,0.1,0.0001,0.01,0.001,0.05,985.0,0.7947456509610995
100.0,0.1,0.0001,0.01,0.0001,0.05,985.0,0.7990059339656135
100.0,0.1,0.0001,0.01,1e-05,0.05,985.0,0.7926155094588426
100.0,0.1,0.0001,0.001,0.01,0.05,985.0,0.8130040066947304
100.0,0.1,0.0001,0.001,0.001,0.05,985.0,0.8031140640056804
100.0,0.1,0.0001,0.001,0.0001,0.05,985.0,0.8016939696708424
100.0,0.1,0.0001,0.001,1e-05,0.05,985.0,0.8009839225034234
100.0,0.1,0.0001,0.0001,0.01,0.05,985.0,0.7976365572855911
100.0,0.1,0.0001,0.0001,0.001,0.05,985.0,0.802454734493077
100.0,0.1,0.0001,0.0001,0.0001,0.05,985.0,0.8096566414768981
100.0,0.1,0.0001,0.0001,1e-05,0.05,985.0,0.8006796165745296
100.0,0.1,0.0001,1e-05,0.001,0.05,985.0,0.8113303240858143
100.0,0.1,0.0001,1e-05,0.0001,0.05,985.0,0.8067657351524066
100.0,0.1,0.0001,1e-05,1e-05,0.05,985.0,0.801186793122686
100.0,0.1,1e-05,0.1,1e-05,0.05,985.0,0.7808997311964295
100.0,0.1,1e-05,0.01,0.01,0.05,985.0,0.7823705431860831
100.0,0.1,1e-05,0.01,0.001,0.05,985.0,0.7921590505655018
100.0,0.1,1e-05,0.01,0.0001,0.05,985.0,0.7933762742810773
100.0,0.1,1e-05,0.01,1e-05,0.05,985.0,0.8108231475376578
100.0,0.1,1e-05,0.001,0.01,0.05,985.0,0.7834863315920272
100.0,0.1,1e-05,0.001,0.001,0.05,985.0,0.8116853476695237
100.0,0.1,1e-05,0.001,0.0001,0.05,985.0,0.8023532991834458
100.0,0.1,1e-05,0.001,1e-05,0.05,985.0,0.8126997007658366
100.0,0.1,1e-05,0.0001,0.01,0.05,985.0,0.8048891819242279
100.0,0.1,1e-05,0.0001,0.001,0.05,985.0,0.7961150276411219
100.0,0.1,1e-05,0.0001,0.0001,0.05,985.0,0.805142770198306
100.0,0.1,1e-05,0.0001,1e-05,0.05,985.0,0.81533701881625
100.0,0.1,1e-05,1e-05,0.01,0.05,985.0,0.7938834508292336
100.0,0.1,1e-05,1e-05,0.001,0.05,985.0,0.8048891819242279
100.0,0.1,1e-05,1e-05,0.0001,0.05,985.0,0.8090480296191104
100.0,0.1,1e-05,1e-05,1e-05,0.05,985.0,0.8161485012933002
100.0,0.01,100.0,100.0,10.0,0.05,985.0,0.7299792057615256
100.0,0.01,100.0,100.0,1.0,0.05,985.0,0.8050413348886748
100.0,0.01,100.0,100.0,0.1,0.05,985.0,0.8064614292235127
100.0,0.01,100.0,100.0,0.01,0.05,985.0,0.8227925140741492
100.0,0.01,100.0,100.0,0.001,0.05,985.0,0.8090480296191104
100.0,0.01,100.0,100.0,0.0001,0.05,985.0,0.775878683369681
100.0,0.01,100.0,100.0,1e-05,0.05,985.0,0.8210681138104174
100.0,0.01,100.0,10.0,10.0,0.05,985.0,0.8089973119642948
100.0,0.01,100.0,10.0,1.0,0.05,985.0,0.7942891920677588
100.0,0.01,100.0,10.0,0.1,0.05,985.0,0.23401125931936909
