alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,1.0,100.0,0.1,0.01,0.01,197.0,0.7718719886392453
100.0,1.0,100.0,0.1,0.0001,0.01,197.0,0.779986813409748
100.0,1.0,100.0,0.1,1e-05,0.01,197.0,0.7406806309276259
100.0,1.0,100.0,0.01,0.01,0.01,197.0,0.7899781914084293
100.0,1.0,100.0,0.01,0.001,0.01,197.0,0.7666987878480499
100.0,1.0,100.0,0.01,0.0001,0.01,197.0,0.7798853781001166
100.0,1.0,100.0,0.01,1e-05,0.01,197.0,0.793984886138865
100.0,1.0,100.0,0.001,0.01,0.01,197.0,0.7807475782319826
100.0,1.0,100.0,0.001,0.001,0.01,197.0,0.7522442562255921
100.0,1.0,100.0,0.001,0.0001,0.01,197.0,0.7708576355429325
100.0,1.0,100.0,0.001,1e-05,0.01,197.0,0.7735456712481615
100.0,1.0,100.0,0.0001,0.01,0.01,197.0,0.7449409139321398
100.0,1.0,100.0,0.0001,0.001,0.01,197.0,0.7539179388345083
100.0,1.0,100.0,0.0001,0.0001,0.01,197.0,0.7879494852158037
100.0,1.0,100.0,0.0001,1e-05,0.01,197.0,0.7059390373789116
100.0,1.0,100.0,1e-05,0.01,0.01,197.0,0.7864786732261501
100.0,1.0,100.0,1e-05,0.001,0.01,197.0,0.7821169549120048
100.0,1.0,100.0,1e-05,0.0001,0.01,197.0,0.7611198458183294
100.0,1.0,100.0,1e-05,1e-05,0.01,197.0,0.7738499771770553
100.0,0.1,100.0,0.1,0.001,0.01,197.0,0.7233351929806766
100.0,0.1,100.0,0.1,1e-05,0.01,197.0,0.7088806613582188
100.0,0.1,100.0,0.01,0.01,0.01,197.0,0.7725313181518486
100.0,0.1,100.0,0.01,0.0001,0.01,197.0,0.7416442663691231
100.0,0.1,100.0,1e-05,0.001,0.01,197.0,0.7097935791449004
100.0,0.1,10.0,0.1,0.001,0.01,197.0,0.7734442359385302
100.0,0.1,10.0,0.01,0.001,0.01,197.0,0.7426079018106203
100.0,0.1,10.0,0.01,0.0001,0.01,197.0,0.7346452300045646
100.0,0.1,10.0,0.01,1e-05,0.01,197.0,0.7635542932494801
100.0,0.1,10.0,0.001,0.0001,0.01,197.0,0.7562509509560278
100.0,0.1,10.0,0.001,1e-05,0.01,197.0,0.7516863620226201
100.0,0.1,10.0,0.0001,0.001,0.01,197.0,0.7364203479231121
100.0,0.1,10.0,0.0001,0.0001,0.01,197.0,0.7741035654511336
100.0,0.1,10.0,0.0001,1e-05,0.01,197.0,0.717046203783537
100.0,0.1,10.0,1e-05,0.001,0.01,197.0,0.7261753816503524
100.0,0.1,10.0,1e-05,0.0001,0.01,197.0,0.770502611959223
100.0,0.1,10.0,1e-05,1e-05,0.01,197.0,0.7622356342242734
100.0,0.1,100.0,0.1,0.01,0.01,197.0,0.7337830298726987
100.0,0.1,100.0,1e-05,0.01,0.01,197.0,0.7617791753309326
100.0,0.1,10.0,0.1,0.0001,0.01,197.0,0.7681188821828878
100.0,0.1,10.0,0.001,0.001,0.01,197.0,0.7254146168281179
100.0,0.1,0.1,0.01,0.0001,0.01,197.0,0.7366232185423746
100.0,0.01,10.0,0.1,0.1,0.01,197.0,0.7489476086625755
100.0,0.01,10.0,0.001,0.01,0.01,197.0,0.7728863417355581
100.0,0.01,10.0,0.0001,0.1,0.01,197.0,0.7131916620175484
100.0,0.01,10.0,0.0001,0.01,0.01,197.0,0.7488968910077598
100.0,0.01,10.0,1e-05,0.01,0.01,197.0,0.7657351524065528
100.0,0.01,1.0,0.1,0.001,0.01,197.0,0.7548308566211899
100.0,0.01,1.0,0.1,0.0001,0.01,197.0,0.753968656489324
100.0,0.01,1.0,0.1,1e-05,0.01,197.0,0.7790231779682507
100.0,0.01,1.0,0.01,0.001,0.01,197.0,0.7584318101131003
100.0,0.01,1.0,0.01,1e-05,0.01,197.0,0.7653801288228432
100.0,0.01,1.0,0.001,0.001,0.01,197.0,0.7062433433078055
100.0,0.01,1.0,1e-05,0.001,0.01,197.0,0.7376375716386874
100.0,0.01,1.0,1e-05,0.0001,0.01,197.0,0.7551351625500837
100.0,0.01,0.1,0.1,0.001,0.01,197.0,0.785058578891312
100.0,0.01,0.1,0.1,1e-05,0.01,197.0,0.7520413856063296
100.0,0.01,0.1,0.01,0.001,0.01,197.0,0.7847542729624182
100.0,0.01,0.1,0.01,0.0001,0.01,197.0,0.7824212608408987
100.0,0.01,0.1,0.01,1e-05,0.01,197.0,0.7956078510929655
100.0,0.01,0.1,0.001,0.001,0.01,197.0,0.7840442257949992
100.0,0.01,0.1,0.001,0.0001,0.01,197.0,0.7622863518790891
100.0,0.01,0.1,0.001,1e-05,0.01,197.0,0.7648729522746868
100.0,0.01,0.1,0.0001,0.001,0.01,197.0,0.7554394684789776
100.0,0.01,0.1,0.0001,0.0001,0.01,197.0,0.787898767560988
100.0,0.01,0.1,0.0001,1e-05,0.01,197.0,0.7698940001014353
