alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,0.1,0.001,0.001,0.0001,0.1,332.0,0.7138563270213405
100.0,0.1,0.001,0.001,1e-05,0.1,332.0,0.7051397655545536
100.0,0.1,0.001,0.0001,1.0,0.1,332.0,0.7192666065524497
100.0,0.1,0.001,0.0001,0.01,0.1,332.0,0.7117523294259093
100.0,0.1,0.001,0.0001,0.001,0.1,332.0,0.7069431920649234
100.0,0.1,0.001,0.0001,1e-06,0.1,332.0,0.7021340547039375
100.0,0.1,0.001,1e-05,1.0,0.1,332.0,0.7363991584009618
100.0,0.1,0.001,1e-05,0.1,0.1,332.0,0.7204688908926962
100.0,0.1,0.001,1e-05,0.01,0.1,332.0,0.7132551848512173
100.0,0.1,0.001,1e-05,0.001,0.1,332.0,0.7063420498948001
100.0,0.1,0.001,1e-05,0.0001,0.1,332.0,0.7090471896603546
100.0,0.1,0.001,1e-05,1e-05,0.1,332.0,0.7168620378719567
100.0,0.1,0.001,1e-06,1.0,0.1,332.0,0.7141568981064021
100.0,0.1,0.001,1e-06,0.1,0.1,332.0,0.7144574691914638
100.0,0.1,0.001,1e-06,0.001,0.1,332.0,0.7114517583408476
100.0,0.1,0.001,1e-06,0.0001,0.1,332.0,0.700931770363691
100.0,0.1,0.001,1e-06,1e-05,0.1,332.0,0.7075443342350466
100.0,0.1,0.0001,1.0,1.0,0.1,332.0,0.7294860234445446
100.0,0.1,0.0001,1.0,0.1,0.1,332.0,0.7078449053201082
100.0,0.1,0.0001,1.0,0.01,0.1,332.0,0.7126540426810941
100.0,0.1,0.0001,1.0,0.001,0.1,332.0,0.7192666065524497
100.0,0.1,0.0001,1.0,0.0001,0.1,332.0,0.718966035467388
100.0,0.1,0.0001,1.0,1e-05,0.1,332.0,0.7054403366396153
100.0,0.1,0.0001,1.0,1e-06,0.1,332.0,0.7087466185752931
100.0,0.1,0.0001,0.1,1.0,0.1,332.0,0.7192666065524497
100.0,0.1,0.0001,0.1,0.1,0.1,332.0,0.7177637511271415
100.0,0.1,0.0001,0.1,0.01,0.1,332.0,0.7123534715960325
100.0,0.1,0.0001,0.1,0.001,0.1,332.0,0.7108506161707244
100.0,0.1,0.0001,0.1,0.0001,0.1,332.0,0.7027351968740607
100.0,0.1,0.0001,0.1,1e-05,0.1,332.0,0.7093477607454163
100.0,0.1,0.0001,0.01,1.0,0.1,332.0,0.7201683198076345
100.0,0.1,0.0001,0.01,0.1,0.1,332.0,0.7183648932972648
100.0,0.1,0.0001,0.01,0.001,0.1,332.0,0.7132551848512173
100.0,0.1,0.0001,0.01,1e-06,0.1,332.0,0.7108506161707244
100.0,0.1,0.0001,0.001,1.0,0.1,332.0,0.7258791704238052
100.0,0.1,0.0001,0.001,0.1,0.1,332.0,0.715058611361587
100.0,0.1,0.0001,0.001,0.01,0.1,332.0,0.7177637511271415
100.0,0.1,0.0001,0.001,0.001,0.1,332.0,0.7021340547039375
100.0,0.1,0.0001,0.001,1e-05,0.1,332.0,0.7045386233844304
100.0,0.1,0.0001,0.0001,1.0,0.1,332.0,0.7114517583408476
100.0,0.1,0.0001,0.0001,0.1,0.1,332.0,0.7054403366396153
100.0,0.1,0.0001,0.0001,0.001,0.1,332.0,0.7171626089570183
100.0,0.1,0.0001,0.0001,0.0001,0.1,332.0,0.7093477607454163
100.0,0.1,0.0001,0.0001,1e-05,0.1,332.0,0.7003306281935677
100.0,0.1,0.0001,0.0001,1e-06,0.1,332.0,0.7105500450856628
100.0,0.1,0.0001,1e-05,1.0,0.1,332.0,0.71746318004208
100.0,0.1,0.0001,1e-05,0.1,0.1,332.0,0.7015329125338142
