alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,0.01,1e-06,1e-06,0.1,0.05,166.0,0.7159603246167718
100.0,0.001,0.1,0.01,0.1,0.05,166.0,0.7156597535317103
100.0,0.001,0.1,0.0001,0.1,0.05,166.0,0.7057409077246769
100.0,0.001,0.01,1.0,1e-06,0.05,166.0,0.7081454764051698
100.0,0.001,0.01,0.1,1.0,0.05,166.0,0.71746318004208
100.0,0.001,0.01,0.1,1e-06,0.05,166.0,0.7114517583408476
100.0,0.001,0.01,0.01,1.0,0.05,166.0,0.7018334836188759
100.0,0.001,0.01,0.01,0.1,0.05,166.0,0.7180643222122032
100.0,0.001,0.01,0.001,1.0,0.05,166.0,0.7171626089570183
100.0,0.001,0.01,0.001,0.1,0.05,166.0,0.7093477607454163
100.0,0.001,0.01,0.0001,0.01,0.05,166.0,0.7030357679591224
100.0,0.001,0.01,1e-05,1.0,0.05,166.0,0.7048391944694921
100.0,0.001,0.01,1e-06,1.0,0.05,166.0,0.7105500450856628
100.0,0.001,0.001,1.0,0.1,0.05,166.0,0.7084460474902314
100.0,0.001,0.001,1.0,1e-05,0.05,166.0,0.7018334836188759
100.0,0.001,0.001,0.01,1.0,0.05,166.0,0.7132551848512173
100.0,0.001,0.001,0.0001,0.01,0.05,166.0,0.7045386233844304
100.0,0.001,0.001,1e-06,1.0,0.05,166.0,0.7102494740006011
100.0,0.001,0.0001,1.0,1.0,0.05,166.0,0.715058611361587
100.0,0.001,0.0001,1.0,0.1,0.05,166.0,0.7045386233844304
100.0,0.001,0.0001,0.1,1.0,0.05,166.0,0.7000300571085062
100.0,0.001,0.0001,0.1,0.1,0.05,166.0,0.7102494740006011
100.0,0.001,0.0001,0.01,1.0,0.05,166.0,0.7072437631499849
100.0,0.001,0.0001,0.001,1.0,0.05,166.0,0.7051397655545536
100.0,0.001,0.0001,0.0001,1.0,0.05,166.0,0.7276825969341749
100.0,0.001,0.0001,0.0001,0.1,0.05,166.0,0.7069431920649234
100.0,0.001,0.0001,0.0001,0.0001,0.05,166.0,0.7033363390441839
100.0,0.001,0.0001,1e-05,1.0,0.05,166.0,0.7123534715960325
100.0,0.001,0.0001,1e-05,0.01,0.05,166.0,0.7057409077246769
100.0,0.001,0.0001,1e-06,1.0,0.05,166.0,0.7165614667868951
100.0,0.001,0.0001,1e-06,0.1,0.05,166.0,0.7024346257889991
100.0,0.001,1e-05,1.0,0.1,0.05,166.0,0.7087466185752931
100.0,0.001,1e-05,1.0,1e-06,0.05,166.0,0.7066426209798617
100.0,0.001,1e-05,0.01,1.0,0.05,166.0,0.7036369101292456
100.0,0.001,1e-05,0.001,0.1,0.05,166.0,0.7024346257889991
100.0,0.001,1e-05,0.0001,1.0,0.05,166.0,0.7165614667868951
100.0,0.001,1e-05,0.0001,0.1,0.05,166.0,0.7060414788097386
100.0,0.001,1e-05,1e-05,1.0,0.05,166.0,0.7021340547039375
100.0,0.001,1e-05,1e-05,0.001,0.05,166.0,0.7000300571085062
100.0,0.001,1e-05,1e-06,1.0,0.05,166.0,0.7204688908926962
100.0,0.001,1e-06,1.0,0.1,0.05,166.0,0.7051397655545536
100.0,0.001,1e-06,0.1,0.0001,0.05,166.0,0.7054403366396153
100.0,0.001,1e-06,0.01,1.0,0.05,166.0,0.7096483318304779
100.0,0.001,1e-06,0.001,1.0,0.05,166.0,0.7120529005109708
100.0,0.001,1e-06,0.0001,1.0,0.05,166.0,0.7096483318304779
100.0,0.001,1e-06,0.0001,0.1,0.05,166.0,0.7024346257889991
